combo_id,rr_ratio,sl_atr_multiplier,breakeven_r,atr_vol_filter,require_daily_momentum,n_trades,win_rate,avg_r,trades_per_day,best_ev_per_day,best_account,best_scheme,best_eval_risk,best_funded_risk,best_pass_rate,screen_time_s
57f3f841592b,1.25,1.0,0.5,1.0,False,347,0.5159,0.1572,0.5,13.942,50K,fixed_dollar,0.4,0.6,0.484,12.63
d880ac4d6713,1.25,1.0,0.5,1.0,True,155,0.4774,0.062,0.5,3.5114,50K,pct_balance,0.4,0.6,0.371,12.75
539b1bc7d73c,1.25,1.0,1.0,0.0,False,367,0.515,0.1569,0.5,13.5314,150K,pct_balance,0.4,0.4,0.398,12.7
d60eb8d9373d,1.25,1.0,1.0,0.0,True,164,0.4817,0.0763,0.5,6.3498,50K,fixed_dollar,0.4,0.6,0.398,12.96
d497036d55fe,1.25,1.0,1.0,1.0,False,347,0.5159,0.1572,0.5,13.942,50K,fixed_dollar,0.4,0.6,0.484,12.64
f5a025405d60,1.25,1.0,1.0,1.0,True,155,0.4774,0.062,0.5,3.5114,50K,pct_balance,0.4,0.6,0.371,13.12
b151fc656638,1.25,1.25,0.0,0.0,False,365,0.5068,0.1419,0.5,7.9058,50K,pct_balance,0.2,0.6,0.551,13.52
2e93ce1189cb,1.25,1.25,0.0,0.0,True,163,0.5031,0.1264,0.5,6.9919,50K,fixed_dollar,0.2,0.6,0.525,13.33
f53dcae2d558,1.25,1.25,0.0,1.0,False,345,0.5072,0.1401,0.5,10.0286,50K,fixed_dollar,0.4,0.6,0.444,13.35
265dfe49d092,1.25,1.25,0.0,1.0,True,154,0.5,0.1143,0.5,5.992,50K,fixed_dollar,0.2,0.6,0.498,13.34
65af7b48cd38,1.25,1.25,0.5,0.0,False,365,0.5068,0.1419,0.5,7.9058,50K,pct_balance,0.2,0.6,0.551,12.91
f2a8fe1121d6,1.25,1.25,0.5,0.0,True,163,0.5031,0.1264,0.5,6.9919,50K,fixed_dollar,0.2,0.6,0.525,12.89
275fcd2cf52a,1.25,1.25,0.5,1.0,False,345,0.5072,0.1401,0.5,10.0286,50K,fixed_dollar,0.4,0.6,0.444,13.06
b5a361254132,1.25,1.25,0.5,1.0,True,154,0.5,0.1143,0.5,5.992,50K,fixed_dollar,0.2,0.6,0.498,13.33
f8682705e280,1.25,1.25,1.0,0.0,False,365,0.5068,0.1419,0.5,7.9058,50K,pct_balance,0.2,0.6,0.551,12.65
d3c21fcad377,1.25,1.25,1.0,0.0,True,163,0.5031,0.1264,0.5,6.9919,50K,fixed_dollar,0.2,0.6,0.525,12.83
ae234c8cb87d,1.25,1.25,1.0,1.0,False,345,0.5072,0.1401,0.5,10.0286,50K,fixed_dollar,0.4,0.6,0.444,12.77
788667c903af,1.25,1.25,1.0,1.0,True,154,0.5,0.1143,0.5,5.992,50K,fixed_dollar,0.2,0.6,0.498,12.62
